CustomerSRKey,CustomerKey,CustomerCode,Name,Education,Occupation
52,179,11178,"Johnson, Nathan",Graduate Degree,Management
53,180,11179,"Rodriguez, Molly",Graduate Degree,Management
54,181,11180,"Anand, April",Bachelors,Management
55,182,11181,"Martin, Devin",Graduate Degree,Management
56,183,11182,"Torres, Stephanie",Bachelors,Management
57,184,11183,"Lee, Jasmine",Bachelors,Management
58,185,11184,"Hernandez, Meghan",Bachelors,Management
59,187,11186,"Price, Sarah",Bachelors,Management
60,188,11187,"Cooper, Jennifer",Graduate Degree,Management
61,189,11188,"Morris, Catherine",Graduate Degree,Management
62,190,11189,"Blanco, Lawrence",Graduate Degree,Management
63,191,11190,"Bryant, Carson",Bachelors,Management
64,202,11201,"Foster, Amanda",Bachelors,Management
65,203,11202,"Price, Alexia",Bachelors,Management
66,205,11204,"Rivera, Destiny",High School,Professional
67,206,11205,"Fernandez, Abby",High School,Professional
68,207,11206,"Flores, Blake",Partial College,Professional
69,208,11207,"Cox, Danielle",Partial College,Professional
70,209,11208,"Reed, Maria",Bachelors,Management
71,210,11209,"Evans, Allison",Bachelors,Management
72,211,11210,"Wood, Edward",Partial College,Professional
73,214,11213,"Murphy, Stephanie",Partial College,Professional
74,215,11214,"Miller, Charles",Partial College,Professional
75,217,11216,"Torres, Jasmine",Partial College,Professional
76,218,11217,"Adams, Natalie",Partial College,Professional
77,219,11218,"Brown, Olivia",Partial College,Professional
78,220,11219,"Cook, Charles",High School,Professional
79,221,11220,"Huang, Erica",Partial College,Professional
80,222,11221,"Perry, Nathan",Partial College,Professional
81,223,11222,"Rivera, Alexandra",Bachelors,Management
82,225,11224,"Li, Tiffany",High School,Professional
83,226,11225,"Lee, Madison",Partial College,Professional
84,227,11226,"Ross, Sydney",Partial College,Professional
85,228,11227,"Chavez, Marshall",Partial College,Professional
86,229,11228,"Jones, Ashley",Partial College,Professional
87,230,11229,"Stewart, Adrian",Partial College,Professional
88,231,11230,"Turner, Amber",Partial College,Professional
89,232,11231,"Zhang, Dennis",High School,Professional
90,233,11232,"Bryant, Hailey",High School,Professional
91,234,11233,"Li, Todd",Partial College,Professional
92,235,11234,"Griffin, Anna",Partial College,Professional
93,236,11235,"Stewart, Angel",Partial College,Professional
94,237,11236,"Butler, Jeremy",Partial College,Professional
95,238,11237,"Anand, Clarence",Bachelors,Management
96,246,11245,"Vazquez, Ricky",High School,Professional
97,247,11246,"Rubio, Latasha",High School,Professional
98,250,11249,"Patel, Cindy",Partial College,Professional
99,253,11252,"Thompson, Nicholas",Graduate Degree,Management
100,255,11254,"Vance, Johnathan",Graduate Degree,Management
101,256,11255,"Lin, Colin",Graduate Degree,Management
102,257,11256,"Hernandez, Katelyn",Graduate Degree,Management
103,258,11257,"Powell, Jacqueline",Graduate Degree,Management
104,259,11258,"Hill, Xavier",Graduate Degree,Management
105,260,11259,"Stewart, Victoria",Partial College,Professional
106,261,11260,"Kelly, Katelyn",Bachelors,Management
107,262,11261,"Collins, Stephanie",Graduate Degree,Management
108,264,11263,"Richardson, Trinity",Partial College,Professional
109,265,11264,"Martin, Eduardo",Partial College,Professional
110,266,11265,"Jones, Elizabeth",Partial College,Professional
111,267,11266,"Howard, Taylor",Partial College,Professional
112,268,11267,"Diaz, David",Partial College,Professional
113,269,11268,"Carter, Katelyn",Graduate Degree,Management
114,270,11269,"Foster, Ryan",Graduate Degree,Management
115,271,11270,"Lee, Robert",Graduate Degree,Management
116,272,11271,"Reed, Danielle",Bachelors,Management
117,273,11272,"Martinez, Lauren",Partial College,Professional
118,274,11273,"Lal, Nathan",Partial College,Professional
119,275,11274,"Foster, Kyle",Graduate Degree,Management
120,276,11275,"Rai, Jenny",Graduate Degree,Management
121,279,11278,"Phillips, Jonathan",Partial College,Professional
122,280,11279,"Cook, Amanda",Partial College,Professional
123,281,11280,"Collins, Robert",Partial College,Professional
124,282,11281,"Barnes, Megan",Bachelors,Management
125,283,11282,"Thomas, Christian",Partial College,Professional
126,284,11283,"Lal, Arturo",Bachelors,Management
127,285,11284,"Serrano, Theresa",Bachelors,Management
128,286,11285,"Anderson, Jeremy",Partial College,Professional
129,287,11286,"Griffin, Hunter",Graduate Degree,Management
130,289,11288,"Sanchez, Cindy",Bachelors,Management
131,290,11289,"Carter, Maria",Bachelors,Management
132,291,11290,"Sanchez, Katelyn",Bachelors,Management
133,292,11291,"Wright, Jenna",Bachelors,Management
134,293,11292,"Phillips, Seth",Partial College,Professional
135,294,11293,"Long, Luke",High School,Professional
136,295,11294,"Clark, Dalton",High School,Professional
137,296,11295,"Lewis, Taylor",Partial High School,Skilled Manual
138,297,11296,"Richardson, Haley",Graduate Degree,Management
139,298,11297,"Coleman, Noah",Graduate Degree,Management
140,299,11298,"Luo, Jon",Graduate Degree,Management
141,300,11299,"Vazquez, Orlando",Graduate Degree,Management
142,306,11305,"Evans, Sean",Partial College,Professional
143,307,11306,"Zhou, Micah",Partial College,Professional
144,316,11315,"Ward, Hailey",Graduate Degree,Management
145,318,11317,"Russell, Victoria",Partial College,Professional
146,319,11318,"Wilson, Jessica",Partial College,Professional
147,320,11319,"Bailey, Jade",Graduate Degree,Management
148,321,11320,"Hill, Morgan",Graduate Degree,Management
149,322,11321,"Raman, Terrance",Bachelors,Management
150,323,11322,"Garcia, Sydney",Bachelors,Management
151,324,11323,"Patterson, Jose",Graduate Degree,Management
152,325,11324,"Anderson, Zachary",Bachelors,Management
153,326,11325,"Ross, Elijah",Bachelors,Management
154,327,11326,"Xie, Rafael",Bachelors,Management
155,328,11327,"Moreno, Jaime",Bachelors,Management
156,330,11329,"Alvarez, Andy",Bachelors,Management
157,333,11332,"Ramos, Deanna",Graduate Degree,Manual
158,336,11335,"Raman, Carla",Bachelors,Manual
159,339,11338,"Navarro, Frank",Graduate Degree,Clerical
160,348,11347,"Navarro, Roy",Partial College,Manual
161,349,11348,"Rai, Shawn",Partial College,Manual
162,350,11349,"Luo, Mindy",Partial College,Manual
163,355,11354,"Suarez, Deanna",Partial College,Manual
164,374,11373,"Luo, Carly",Bachelors,Clerical
165,375,11374,"Ortega, Jimmy",Bachelors,Clerical
166,378,11377,"Robinett, David",Graduate Degree,Clerical
167,381,11380,"Kumar, Mitchell",Partial College,Manual
168,387,11386,"Cai, Jaclyn",Bachelors,Clerical
169,390,11389,"Shan, Karl",High School,Manual
170,392,11391,"Xie, Lindsay",High School,Manual
171,393,11392,"Zhao, Willie",High School,Manual
172,396,11395,"Gutierrez, Beth",Bachelors,Clerical
173,397,11396,"Lopez, Ian",High School,Manual
174,405,11404,"Taylor, Megan",Partial College,Manual
175,406,11405,"Goel, Bonnie",Partial College,Manual
176,408,11407,"She, Mario",Partial College,Manual
177,412,11411,"Ross, Devin",Partial College,Professional
178,413,11412,"Bryant, Sydney",Partial College,Professional
179,416,11415,"She, Randy",Partial College,Professional
180,419,11418,"Hu, Rafael",Partial College,Professional
181,422,11421,"Sun, Amy",Bachelors,Management
182,424,11423,"Stewart, Jasmine",Partial College,Professional
183,425,11424,"Garcia, Pamela",Partial College,Professional
184,427,11426,"Mehta, Kristopher",Bachelors,Management
185,428,11427,"Dominguez, Desiree",Partial College,Professional
186,429,11428,"Perez, Deanna",Bachelors,Management
187,431,11430,"Yuan, Casey",High School,Professional
188,432,11431,"Garcia, Bryant",Partial College,Professional
189,436,11435,"Romero, Robin",Partial College,Management
190,439,11438,"Nara, Jenny",High School,Management
191,471,11470,"Suarez, Jay",Partial High School,Manual
192,478,11477,"Hughes, Tristan",High School,Manual
193,482,11481,"Hu, Erica",Bachelors,Skilled Manual
194,485,11484,"Sai, Erick",Partial College,Clerical
195,487,11486,"Rogers, Ariana",Partial High School,Manual
196,493,11492,"Chander, Terrence",High School,Manual
197,496,11495,"Jimenez, Francis",Partial College,Clerical
198,500,11499,"Vance, Pedro",Partial College,Clerical
199,505,11504,"Baker, Jordan",Bachelors,Skilled Manual
200,509,11508,"Wilson, Elizabeth",Graduate Degree,Skilled Manual
201,510,11509,"Harui, Roger",Bachelors,Skilled Manual
202,512,11511,"Perry, Caleb",Bachelors,Skilled Manual
203,515,11514,"Diaz, Dalton",High School,Clerical
204,516,11515,"Huang, Shannon",High School,Clerical
205,517,11516,"Gonzales, Mya",High School,Clerical
206,518,11517,"Bryant, Katherine",Partial College,Clerical
207,519,11518,"Washington, Edward",Partial College,Clerical
208,522,11521,"Peterson, Ariana",Partial College,Clerical
209,523,11522,"Hughes, Christian",Graduate Degree,Skilled Manual
210,525,11524,"Jackson, Alyssa",Partial College,Clerical
211,545,11544,"Garcia, Joel",Bachelors,Clerical
212,553,11552,"Rubio, Eddie",Partial College,Manual
213,560,11559,"Subram, Frederick",Bachelors,Clerical
214,562,11561,"Dominguez, Briana",Partial High School,Manual
215,563,11562,"Gonzalez, Jarrod",High School,Manual
216,565,11564,"Liang, Jorge",High School,Manual
217,568,11567,"Perez, Carla",Bachelors,Clerical
218,571,11570,"Andersen, Kristin",Bachelors,Skilled Manual
219,585,11584,"Carter, Devin",Bachelors,Skilled Manual
220,596,11595,"Howard, Sebastian",High School,Manual
221,599,11598,"Ruiz, Meredith",Partial College,Clerical
222,603,11602,"Gill, Larry",Partial College,Clerical
223,606,11605,"Subram, Heidi",High School,Manual
224,614,11613,"Prasad, Meredith",Partial College,Clerical
225,615,11614,"Sharma, Katrina",Partial College,Clerical
226,640,11639,"Perry, Angelica",Graduate Degree,Professional
227,644,11643,"Munoz, Naomi",Bachelors,Skilled Manual
228,645,11644,"Torres, Charles",Bachelors,Skilled Manual
229,646,11645,"Turner, Gabriella",Bachelors,Skilled Manual
230,647,11646,"Foster, Anna",Bachelors,Skilled Manual
231,649,11648,"Scott, Kevin",Graduate Degree,Professional
232,650,11649,"White, Ian",Graduate Degree,Professional
233,651,11650,"Hayes, Caleb",Graduate Degree,Professional
234,654,11653,"Peterson, Sydney",Graduate Degree,Professional
235,655,11654,"Sanchez, Ariana",Graduate Degree,Professional
236,656,11655,"Sharma, Tamara",Graduate Degree,Professional
237,657,11656,"Perez, Katelyn",Graduate Degree,Professional
238,658,11657,"Cox, Megan",Graduate Degree,Professional
239,659,11658,"Mitchell, Robert",Graduate Degree,Professional
240,663,11662,"Kumar, Ethan",Graduate Degree,Professional
241,664,11663,"Williams, Seth",Graduate Degree,Professional
242,665,11664,"Morgan, Alyssa",Graduate Degree,Professional
243,666,11665,"Dominguez, Janet",Graduate Degree,Professional
244,667,11666,"Baker, Angel",Graduate Degree,Professional
245,668,11667,"Moore, Blake",Bachelors,Skilled Manual
246,669,11668,"Collins, Jada",Bachelors,Skilled Manual
247,670,11669,"Simmons, Isabella",Bachelors,Skilled Manual
248,671,11670,"Perry, Jacqueline",Bachelors,Skilled Manual
249,672,11671,"Brown, Jessica",Bachelors,Skilled Manual
250,673,11672,"Jai, Chad",Bachelors,Skilled Manual
251,674,11673,"Ye, Susan",Bachelors,Skilled Manual
252,675,11674,"Rogers, Morgan",Graduate Degree,Professional
253,676,11675,"Martinez, Devin",Graduate Degree,Professional
254,677,11676,"Hu, Alan",Graduate Degree,Professional
255,679,11678,"Chavez, Johnny",Graduate Degree,Professional
256,680,11679,"Richardson, Dalton",Graduate Degree,Professional
257,681,11680,"Nelson, Kaylee",Graduate Degree,Professional
258,682,11681,"Jones, Abigail",Graduate Degree,Professional
259,683,11682,"Hall, Kaitlyn",Graduate Degree,Professional
260,684,11683,"Taylor, Greg",Graduate Degree,Professional
261,685,11684,"Parker, Devin",Bachelors,Professional
262,686,11685,"Griffin, Jose",Bachelors,Professional
263,687,11686,"Edwards, Luke",Bachelors,Professional
264,688,11687,"Torres, Cody",Bachelors,Professional
265,689,11688,"Morris, Victoria",Bachelors,Skilled Manual
266,690,11689,"Diaz, Ian",Bachelors,Skilled Manual
267,691,11690,"Butler, Caroline",Graduate Degree,Professional
268,692,11691,"Wilson, Kaitlyn",Bachelors,Professional
269,693,11692,"Gonzales, Caleb",Bachelors,Professional
270,695,11694,"Ortega, Jonathon",Bachelors,Skilled Manual
271,696,11695,"Campbell, Logan",Bachelors,Skilled Manual
272,697,11696,"Campbell, Mackenzie",Bachelors,Skilled Manual
273,698,11697,"Lee, Eduardo",Bachelors,Skilled Manual
274,700,11699,"Peterson, Chase",Bachelors,Skilled Manual
275,701,11700,"Richardson, Xavier",Bachelors,Professional
276,702,11701,"Hayes, David",Bachelors,Professional
277,703,11702,"Zhou, Jenny",Bachelors,Professional
278,704,11703,"Baker, Kaylee",Bachelors,Professional
279,705,11704,"Hernandez, Evan",Bachelors,Professional
280,706,11705,"Richardson, Brooke",Graduate Degree,Professional
281,707,11706,"Perez, Blake",Bachelors,Professional
282,708,11707,"Cook, Natalie",Bachelors,Professional
283,709,11708,"Weisman, Elizabeth",Bachelors,Professional
284,711,11710,"Ramirez, Zoe",High School,Skilled Manual
285,714,11713,"Zhang, Kyle",Partial College,Skilled Manual
286,715,11714,"Long, Alexandria",Partial College,Skilled Manual
287,716,11715,"Robinson, Chloe",Partial College,Skilled Manual
288,717,11716,"Kelly, Evan",High School,Skilled Manual
289,718,11717,"Jones, Marcus",Partial College,Skilled Manual
290,719,11718,"Jones, Sarah",Partial College,Skilled Manual
291,721,11720,"Morris, Morgan",High School,Skilled Manual
292,722,11721,"Alexander, Jennifer",High School,Skilled Manual
293,723,11722,"Hughes, Julian",Partial College,Skilled Manual
294,726,11725,"Li, Jose",Partial College,Skilled Manual
295,727,11726,"Liang, Micah",Partial College,Skilled Manual
296,728,11727,"Taylor, Benjamin",Graduate Degree,Professional
297,729,11728,"White, Logan",Partial College,Skilled Manual
298,730,11729,"Campbell, Caleb",Partial College,Skilled Manual
299,731,11730,"Torres, Emma",Partial College,Skilled Manual
300,732,11731,"Gill, Tanya",Partial College,Skilled Manual
301,733,11732,"Sanchez, Erick",Partial College,Skilled Manual
302,734,11733,"Schmidt, Kristi",Partial College,Skilled Manual
303,735,11734,"Chen, Omar",Partial College,Skilled Manual
304,736,11735,"Gray, Sydney",Partial College,Skilled Manual
305,737,11736,"Sanchez, Sebastian",Partial College,Skilled Manual
306,738,11737,"Martin, Megan",Bachelors,Professional
307,742,11741,"Chander, Tamara",Graduate Degree,Professional
308,743,11742,"Lewis, Edward",Bachelors,Professional
309,744,11743,"Kelly, Chase",Bachelors,Professional
310,745,11744,"Campbell, Stephanie",Bachelors,Professional
311,746,11745,"Gonzalez, Allison",Bachelors,Professional
312,747,11746,"Brooks, Seth",Bachelors,Professional
313,748,11747,"Davis, Destiny",Graduate Degree,Professional
314,771,11770,"Nara, Peter",Graduate Degree,Skilled Manual
315,772,11771,"Rivera, Isaac",Graduate Degree,Skilled Manual
316,773,11772,"Moore, Cameron",Graduate Degree,Skilled Manual
317,774,11773,"Diaz, Gavin",Graduate Degree,Skilled Manual
318,775,11774,"Sanchez, Emma",Graduate Degree,Skilled Manual
319,780,11779,"Jackson, Sarah",Graduate Degree,Skilled Manual
320,781,11780,"Alexander, Jessica",Graduate Degree,Skilled Manual
321,782,11781,"Gray, Carlos",Graduate Degree,Skilled Manual
322,783,11782,"Jai, Barbara",Graduate Degree,Skilled Manual
323,784,11783,"Mitchell, Sara",Graduate Degree,Skilled Manual
324,786,11785,"Diaz, Theodore",Bachelors,Skilled Manual
325,787,11786,"Murphy, Ian",Graduate Degree,Skilled Manual
326,788,11787,"Nath, Jerry",Graduate Degree,Skilled Manual
327,789,11788,"James, Destiny",Graduate Degree,Professional
328,790,11789,"Phillips, Bailey",Bachelors,Skilled Manual
329,791,11790,"Gonzalez, Timothy",Bachelors,Skilled Manual
330,792,11791,"Morgan, Chase",Graduate Degree,Professional
331,793,11792,"Perry, Alexia",Bachelors,Skilled Manual
332,794,11793,"Rogers, Xavier",Bachelors,Skilled Manual
333,795,11794,"Ross, Lauren",Bachelors,Skilled Manual
334,796,11795,"Thomas, Nicole",Bachelors,Skilled Manual
335,797,11796,"Jenkins, Isabel",Bachelors,Skilled Manual
336,798,11797,"Coleman, Devin",Bachelors,Skilled Manual
337,799,11798,"Chande, Brendan",Bachelors,Skilled Manual
338,800,11799,"Wang, Jessie",Bachelors,Skilled Manual
339,801,11800,"Baker, Jennifer",Graduate Degree,Professional
340,802,11801,"Sharma, Aaron",Graduate Degree,Professional
341,804,11803,"Hernandez, Jan",Graduate Degree,Professional
342,805,11804,"Turner, Haley",Graduate Degree,Professional
343,806,11805,"Green, Richard",Graduate Degree,Professional
344,807,11806,"Stewart, Jennifer",Graduate Degree,Professional
345,808,11807,"Baker, Lucas",Graduate Degree,Professional
346,810,11809,"Gray, Juan",Bachelors,Skilled Manual
347,811,11810,"Washington, Antonio",Bachelors,Professional
348,812,11811,"Brooks, Abigail",Bachelors,Professional
349,813,11812,"Rodriguez, Andrew",Bachelors,Professional
350,814,11813,"Patterson, Mary",Bachelors,Professional
351,815,11814,"Morgan, Dalton",Graduate Degree,Professional
352,816,11815,"Patterson, Hannah",Graduate Degree,Professional
353,817,11816,"Torres, Joe",Graduate Degree,Professional
354,818,11817,"Miller, Morgan",Graduate Degree,Professional
355,819,11818,"Garcia, Daniel",Graduate Degree,Professional
356,820,11819,"Lal, Jose",Bachelors,Skilled Manual
357,822,11821,"Johnson, Austin",Graduate Degree,Professional
358,823,11822,"Wadia, Rohinton",Graduate Degree,Professional
359,826,11825,"She, Aimee",Graduate Degree,Professional
360,827,11826,"Alonso, Jessie",Graduate Degree,Professional
361,829,11828,"Martinez, Katherine",Graduate Degree,Professional
362,830,11829,"Campbell, Sophia",Graduate Degree,Professional
363,831,11830,"Garcia, Taylor",Graduate Degree,Professional
364,832,11831,"Ross, Christian",Graduate Degree,Professional
365,833,11832,"Murphy, Zoe",Bachelors,Professional
366,835,11834,"Flores, Fernando",Bachelors,Skilled Manual
367,837,11836,"Travers, Garrett",Bachelors,Skilled Manual
368,838,11837,"Alexander, Haley",Bachelors,Skilled Manual
369,839,11838,"Rodriguez, Justin",Bachelors,Skilled Manual
370,840,11839,"Brown, Tyler",Graduate Degree,Professional
371,841,11840,"Patterson, Julian",Graduate Degree,Professional
372,843,11842,"Wilson, Justin",Bachelors,Skilled Manual
373,844,11843,"Nara, Christy",Bachelors,Skilled Manual
374,845,11844,"Alvarez, Michele",Bachelors,Skilled Manual
375,847,11846,"Reed, Savannah",Bachelors,Skilled Manual
376,848,11847,"Diaz, Cassidy",Bachelors,Skilled Manual
377,849,11848,"Lewis, Joshua",Bachelors,Skilled Manual
378,850,11849,"Reed, Faith",Bachelors,Skilled Manual
379,851,11850,"Ramirez, Brooke",Bachelors,Skilled Manual
380,852,11851,"Mitchell, Jada",Bachelors,Professional
381,853,11852,"Russell, Kyle",Bachelors,Professional
382,854,11853,"Jones, Grace",Bachelors,Professional
383,855,11854,"Mitchell, Jason",Graduate Degree,Professional
384,856,11855,"Walker, Christian",Bachelors,Professional
385,857,11856,"Hernandez, Seth",Graduate Degree,Professional
386,858,11857,"Young, Isabella",Graduate Degree,Professional
387,859,11858,"Coleman, Jordan",High School,Skilled Manual
388,860,11859,"Garcia, Blake",Partial College,Skilled Manual
389,861,11860,"Walker, Nicole",Partial College,Skilled Manual
390,877,11876,"White, Madison",Partial College,Skilled Manual
391,878,11877,"Diaz, Alexis",Partial College,Skilled Manual
392,879,11878,"Nara, Christine",Partial College,Skilled Manual
393,880,11879,"Sai, Edgar",Partial College,Skilled Manual
394,881,11880,"Sanchez, Melissa",Partial College,Skilled Manual
395,882,11881,"Mitchell, Richard",Bachelors,Professional
396,883,11882,"Stewart, Patrick",Bachelors,Professional
397,884,11883,"Anderson, Hannah",Graduate Degree,Professional
398,885,11884,"Shen, Latoya",Graduate Degree,Professional
399,886,11885,"Sharma, Kurt",Graduate Degree,Professional
400,887,11886,"Parker, Katelyn",Bachelors,Professional
401,888,11887,"White, Joseph",Bachelors,Professional
402,890,11889,"Patterson, Blake",Bachelors,Professional
403,891,11890,"Lopez, Whitney",Graduate Degree,Professional
404,892,11891,"Liang, Jamie",Graduate Degree,Professional
405,924,11923,"Bryant, Sarah",Partial College,Skilled Manual
406,925,11924,"Long, Ian",Partial College,Skilled Manual
407,926,11925,"Jai, Ashlee",Partial College,Skilled Manual
408,927,11926,"Foster, Eduardo",Partial College,Skilled Manual
409,928,11927,"Murphy, Nicole",Partial College,Skilled Manual
410,929,11928,"Morris, Isabella",Partial College,Skilled Manual
411,932,11931,"Adams, Marcus",Partial College,Skilled Manual
412,933,11932,"Coleman, Elizabeth",Partial College,Skilled Manual
413,934,11933,"Rubio, Mathew",Partial High School,Clerical
414,935,11934,"Shan, Justin",Partial High School,Clerical
415,936,11935,"Taylor, Jessica",Partial College,Skilled Manual
416,937,11936,"Clark, Hunter",Partial College,Skilled Manual
417,938,11937,"Perez, Devin",Partial College,Skilled Manual
418,939,11938,"Alexander, Seth",Partial College,Skilled Manual
419,940,11939,"Washington, Kevin",Partial College,Skilled Manual
420,941,11940,"Miller, Tyler",Bachelors,Management
421,942,11941,"Roberts, Adam",Partial College,Skilled Manual
422,946,11945,"Huang, Dennis",Partial College,Skilled Manual
423,950,11949,"Brooks, Julia",Partial College,Skilled Manual
424,951,11950,"Carter, Jordan",Partial College,Skilled Manual
425,954,11953,"Wright, Courtney",High School,Skilled Manual
426,955,11954,"Garcia, Joseph",Partial College,Skilled Manual
427,956,11955,"Green, Gabriel",Partial College,Skilled Manual
428,957,11956,"Sandberg, Alexandria",High School,Skilled Manual
429,958,11957,"Hernandez, Courtney",Partial College,Skilled Manual
430,959,11958,"Lal, Dylan",Partial College,Professional
431,960,11959,"Davis, Elizabeth",Partial College,Professional
432,961,11960,"Griffin, Ana",Partial College,Professional
433,962,11961,"Alvarez, Anne",Partial College,Professional
434,963,11962,"Roberts, Alexandra",Partial College,Professional
435,971,11970,"Collins, Bailey",Bachelors,Management
436,972,11971,"Adams, Amanda",Bachelors,Management
437,973,11972,"Williams, Katherine",Partial College,Professional
438,974,11973,"Barnes, Caroline",Partial College,Professional
439,975,11974,"Sun, Randy",Partial College,Professional
440,976,11975,"Garcia, Destiny",High School,Professional
441,979,11978,"Washington, Jackson",Graduate Degree,Management
442,981,11980,"Richardson, Kimberly",High School,Professional
443,982,11981,"Howard, Alexandria",High School,Professional
444,983,11982,"Foster, Alexandra",High School,Professional
445,984,11983,"Ortega, Cheryl",Partial College,Professional
446,986,11985,"Hughes, Melanie",Bachelors,Management
447,1016,12015,"White, Jacob",High School,Skilled Manual
448,1017,12016,"Serrano, Meredith",High School,Skilled Manual
449,1019,12018,"Henderson, Devin",High School,Skilled Manual
450,1020,12019,"Cox, Gabrielle",High School,Skilled Manual
451,1023,12022,"Wright, Jose",High School,Skilled Manual
452,1024,12023,"Johnson, Fernando",Partial High School,Clerical
453,1025,12024,"Edwards, Samuel",High School,Skilled Manual
454,1026,12025,"Diaz, Logan",High School,Skilled Manual
455,1027,12026,"Flores, Lucas",High School,Skilled Manual
456,1028,12027,"Wood, Haley",High School,Skilled Manual
457,1029,12028,"Lewis, Sarah",Partial High School,Clerical
458,1030,12029,"Hu, Damien",Partial High School,Clerical
459,1031,12030,"Washington, Ana",High School,Skilled Manual
460,1034,12033,"Guo, Kristen",High School,Skilled Manual
461,1041,12040,"Torres, Richard",Partial College,Skilled Manual
462,1042,12041,"Martin, Seth",High School,Skilled Manual
463,1043,12042,"Carter, Alex",High School,Skilled Manual
464,1044,12043,"Patterson, Carson",Partial College,Skilled Manual
465,1045,12044,"Lopez, Madeline",Partial College,Skilled Manual
466,1046,12045,"Russell, Luis",Partial College,Skilled Manual
467,1051,12050,"Young, Aaron",Graduate Degree,Management
468,1052,12051,"Scott, Isaiah",Bachelors,Management
469,1053,12052,"Ward, Makayla",Bachelors,Management
470,1054,12053,"Gao, Cedric",Graduate Degree,Management
471,1058,12057,"Collins, Madeline",Graduate Degree,Management
472,1059,12058,"Nelson, Chloe",Bachelors,Management
473,1060,12059,"Jenkins, Jason",Bachelors,Management
474,1069,12068,"Jenkins, Maria",Bachelors,Management
475,1070,12069,"Kelly, Garrett",Bachelors,Management
476,1071,12070,"Ross, Luke",Bachelors,Management
477,1072,12071,"Robinson, Robert",Bachelors,Management
478,1073,12072,"Ross, Tristan",Bachelors,Management
479,1074,12073,"Rodriguez, Thomas",Bachelors,Management
480,1076,12075,"Griffin, Cameron",Bachelors,Management
481,1077,12076,"Washington, Chloe",Bachelors,Management
482,1079,12078,"Edwards, Jose",Bachelors,Management
483,1080,12079,"Cooper, Nathaniel",Bachelors,Management
484,1086,12085,"Rodriguez, Tyler",Bachelors,Management
485,1088,12087,"Cook, Sean",Bachelors,Management
486,1089,12088,"Thompson, Lauren",Bachelors,Management
487,1092,12091,"Munoz, Eddie",High School,Professional
488,1093,12092,"White, Austin",High School,Professional
489,1094,12093,"Chandra, Levi",Partial College,Professional
490,1095,12094,"Bailey, Bailey",Bachelors,Management
